002588史丹利,2022-04-08,0.04,0.04,0.06
002523天桥起重,2022-04-08,0.04,0.04,0.05
002457青龙管业,2022-04-08,0.04,0.02,0.05
002251步 步 高,2022-04-08,0.04,0.02,0.05
002425凯撒文化,2022-04-08,0.04,0.03,0.08
603132金徽股份,2022-04-08,0.04,0.04,0.09
001979招商蛇口,2022-04-08,0.04,0.03,0.09
600238海南椰岛,2022-04-08,0.04,0.05,0.09
603969银龙股份,2022-04-08,0.04,0.03,0.07
002170芭田股份,2022-04-08,0.04,0.05,0.07
002801微光股份,2022-04-08,0.04,0.05,0.1
600509天富能源,2022-04-08,0.04,0.04,0.11
002493荣盛石化,2022-04-08,0.04,0.04,0.05
002716金贵银业,2022-04-08,0.04,0.03,0.06
000779甘咨询,2022-04-08,0.04,0.04,0.06
002155湖南黄金,2022-04-08,0.04,0.03,0.06
601668中国建筑,2022-04-08,0.04,0.02,0.05
600528中铁工业,2022-04-08,0.04,0.02,0.03
601003柳钢股份,2022-04-08,0.04,0.04,0.04
002538司尔特,2022-04-08,0.04,0.05,0.09
600820隧道股份,2022-04-08,0.04,0.03,0.03
600227圣济堂,2022-04-08,0.04,0.02,0.06
603826坤彩科技,2022-04-08,0.04,0.02,0.08
002541鸿路钢构,2022-04-08,0.04,0.04,0.06
601899紫金矿业,2022-04-08,0.04,0.03,0.04
002320海峡股份,2022-04-08,0.04,0.02,0.03
605358立昂微,2022-04-08,0.04,0.02,0.07
603112华翔股份,2022-04-08,0.04,0.03,0.06
601156东航物流,2022-04-08,0.04,0.04,0.06
002096南岭民爆,2022-04-08,0.04,0.02,0.09
002237恒邦股份,2022-04-08,0.04,0.03,0.05
000603盛达资 源,2022-04-08,0.04,0.04,0.04
002114罗平锌电,2022-04-08,0.04,0.04,0.07
000042中洲控股,2022-04-08,0.03,0.03,0.06
000151中成股份,2022-04-08,0.03,0.04,0.1
000856冀东装备,2022-04-08,0.03,0.03,0.06
600249两面针,2022-04-08,0.03,0.03,0.08
003013地铁设计,2022-04-08,0.03,0.04,0.04
600638新黄浦,2022-04-08,0.03,0.06,0.1
600749西藏旅游,2022-04-08,0.03,0.04,0.06
603588高能环境,2022-04-08,0.03,0.03,0.05
600048保利发展,2022-04-08,0.03,0.04,0.06
000055方大集团,2022-04-08,0.03,0.02,0.04
000937冀中能源,2022-04-08,0.03,0.02,0.05
000932华菱钢铁,2022-04-08,0.03,0.03,0.08
600303曙光股份,2022-04-08,0.03,0.03,0.06
603183建研院,2022-04-08,0.03,0.03,0.07
601611中国核建,2022-04-08,0.03,0.03,0.03
000830鲁西化工,2022-04-08,0.03,0.03,0.06
601107四川成渝,2022-04-08,0.03,0.03,0.04
600722金牛化工,2022-04-08,0.03,0.03,0.05
600941中国移动,2022-04-08,0.03,0.04,0.04
002145中核钛 白,2022-04-08,0.03,0.03,0.05
600621华鑫股份,2022-04-08,0.03,0.04,0.05
002459晶澳科技,2022-04-08,0.03,0.02,0.06
603166福达股份,2022-04-08,0.03,0.03,0.06
002480新筑股份,2022-04-08,0.03,0.04,0.06
600008首创环保,2022-04-08,0.03,0.03,0.04
600282南钢股份,2022-04-08,0.03,0.03,0.04
605166聚合顺,2022-04-08,0.03,0.03,0.07
603828柯利达,2022-04-08,0.03,0.03,0.03
600168武汉控股,2022-04-08,0.03,0.03,0.05
002372伟星新材,2022-04-08,0.03,0.02,0.04
002408 齐翔腾达,2022-04-08,0.03,0.03,0.05
002717岭南股份,2022-04-08,0.03,0.02,0.03
601699潞安环能,2022-04-08,0.03,0.03,0.06
603577汇金通,2022-04-08,0.03,0.04,0.04
002271东方雨虹,2022-04-08,0.03,0.03,0.05
002949华阳国际,2022-04-08,0.03,0.04,0.07
000046泛海控股,2022-04-08,0.03,0.04,0.09
603363傲农生物,2022-04-08,0.03,0.03,0.08
600423柳化股份,2022-04-08,0.03,0.03,0.07
600714金瑞矿业,2022-04-08,0.03,0.04,0.07
000619海螺型材,2022-04-08,0.03,0.03,0.05
603815交建股份,2022-04-08,0.03,0.0,0.07
002758浙农股份,2022-04-08,0.03,0.03,0.07
002274华昌化工,2022-04-08,0.03,0.03,0.06
600116三峡水利,2022-04-08,0.03,0.03,0.04
603885吉祥航空,2022-04-08,0.03,0.03,0.05
600500中化国际,2022-04-08,0.03,0.03,0.05
600188兖矿能源,2022-04-08,0.03,0.03,0.05
